Day fraction since midnight on 8/12/2019	UVA ()	Turb_settled ()	Turb_filter ()	UVT ()	Total Count settled ()	Bin 1 count settled ()	Bin 2 count settled ()	Bin 3 count settled ()	Bin 4 count settled ()	Bin 5 count settled ()	Bin 6 count settled ()	Total count filtered ()	Bin 1 count filtered  ()	Bin 2 count filtered ()	Bin 3 count filtered ()	Bin 4 count filtered ()	Bin 5 count filtered  ()	Bin 6 count filtered ()
Start																		
0.41305644	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41311431	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41317218	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41323005	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41328793	0.08399037	0.62725639	0.18545294	82.44461823	93	54	32	7	1	0	0	0.08399037	0	0	0	0	0	0
0.41334581	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41340369	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41346156	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41351943	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41357731	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41363518	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41369306	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41375093	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.4138088	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41386668	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41392456	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41398244	0.08296492	0.61110371	0.18838248	82.63948822	91	54	29	8	1	0	0	0.08296492	0	0	0	0	0	0
0.41404032	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41409817	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41415605	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41421394	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.4142718	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41432968	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41438756	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41444544	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41450331	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41456117	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41461905	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.41467693	0.08395011	0.6159904	0.18810636	82.45226288	91	50	33	8	0	0	0	0.08395011	0	0	0	0	0	0
0.4147348	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41479268	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41485055	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41490843	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41496632	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41502419	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41508207	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41513992	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.4151978	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41525569	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41531356	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.41537144	0.08437346	0.61077213	0.19089016	82.37193298	94	53	32	8	1	0	0	0.08437346	0	0	0	0	0	0
0.4154293	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.41548718	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.41554505	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.41560292	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.41566081	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.4157187	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.41577656	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.41583389	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.4158923	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.41595018	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
0.41600804	0.08382975	0.64990842	0.19529244	82.47511292	90	51	31	8	0	0	0	0.08382975	0	0	0	0	0	0
